Recording,Site,Day,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),File Offset (s),Begin File,Begin Path,Begin Date Time,species,background,exclusion code
1A,1,A,677,Spectrogram 1,1,1880.72,1882.404027,1562.2,2918.9,1880.72,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1880.72,????,1,10
1A,1,A,754,Spectrogram 1,1,1153.002,1154.008944,3535.5,5244.4,1153.002,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1153.002,????,,10
1A,1,A,836,Spectrogram 1,1,2190.5,2191.871527,3330,4645.5,2190.5,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2190.5,????,1,10
1A,1,A,839,Spectrogram 1,1,2210.916,2211.888222,3412.2,5221.1,2210.916,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2210.916,????,1,10
1A,1,A,843,Spectrogram 1,1,2236.541,2237.686833,3576.6,4481.1,2236.541,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2236.541,????,1,10
1A,1,A,847,Spectrogram 1,1,2259.473,2261.013888,1076.4,2795.5,2259.473,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2259.473,????,1,10
1A,1,A,855,Spectrogram 1,1,1854.037,1854.957139,3288.9,5015.5,1854.037,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1854.037,????,1,10
1A,1,A,990,Spectrogram 1,1,2219.155,2223.026526,3100.8,4341.1,2219.155,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2219.155,????,1,10
1A,1,A,1036,Spectrogram 1,1,2298.278,2300.021214,944.9,2716.5,2298.278,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2298.278,????,1,10
1A,1,A,1050,Spectrogram 1,1,2382.736,2383.621416,3992.2,4845,2382.736,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2382.736,????,,10
1A,1,A,1054,Spectrogram 1,1,2401.469,2403.569694,1535.4,2992.1,2401.469,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2401.469,????,1,10
1A,1,A,1171,Spectrogram 1,1,3260.099,3261.244833,3338.1,5008.4,3260.099,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3260.099,????,1,10
1A,1,A,1185,Spectrogram 1,1,2209.987,2210.438389,2204.7,3346.5,2209.987,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2209.987,????,1,10
1A,1,A,1187,Spectrogram 1,1,2249.466,2250.108361,3346.5,4606.3,2249.466,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2249.466,????,1,10
1A,1,A,1199,Spectrogram 1,1,2375.779,2376.820666,2165.4,3031.5,2375.779,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2375.779,????,1,10
1A,1,A,1206,Spectrogram 1,1,2442.039,2443.879277,1929.1,3858.3,2442.039,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2442.039,????,,10
1A,1,A,1210,Spectrogram 1,1,2462.64,2463.317083,275.6,944.9,2462.64,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2462.64,????,,10
1A,1,A,1239,Spectrogram 1,1,2550.328,2550.883555,1968.5,3070.9,2550.328,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2550.328,????,1,10
1A,1,A,1256,Spectrogram 1,1,2620.066,2621.854194,2755.9,4133.9,2620.066,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2620.066,????,1,10
1A,1,A,1265,Spectrogram 1,1,2700.758,2702.181611,1456.7,2440.9,2700.758,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2700.758,????,1,10
1A,1,A,1275,Spectrogram 1,1,2733.46,2735.976612,1592,3625,2733.46,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2733.46,????,,10
1A,1,A,1302,Spectrogram 1,1,2851.809,2853.073444,2309.5,3983.7,2851.809,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2851.809,????,1,10
1A,1,A,1305,Spectrogram 1,1,2834.12,2835.84743,2224.7,4381,2834.12,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2834.12,????,,10
1A,1,A,1322,Spectrogram 1,1,2924.629,2928.80785,3053.8,4406.8,2924.629,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2924.629,????,,10
1A,1,A,1332,Spectrogram 1,1,3015.619,3016.330805,3015.1,5721.1,3015.619,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3015.619,????,,10
1A,1,A,1340,Spectrogram 1,1,3124.577,3125.722833,4252,4960.6,3124.577,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3124.577,????,1,10
1A,1,A,1361,Spectrogram 1,1,3268.141,3272.37711,2834.6,3700.8,3268.141,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3268.141,????,,10
1A,1,A,1363,Spectrogram 1,1,3281.439,3283.678583,4212.6,5236.2,3281.439,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3281.439,????,1,10
1A,1,A,1366,Spectrogram 1,1,3335.479,3359.150867,2979.6,4807.9,3335.479,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3335.479,????,,10
1A,1,A,1377,Spectrogram 1,1,2650.593,2709.29761,1767.8,3259.3,2650.593,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2650.593,????,1,10
1A,1,A,1396,Spectrogram 1,1,1844.036,1845.676624,2589,5484,1844.036,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1844.036,????,,10
1A,1,A,1400,Spectrogram 1,1,1808.411,1816.874539,1189.4,4423.2,1808.411,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1808.411,????,1,10
1A,1,A,1424,Spectrogram 1,1,2407.843,2410.395082,3109.5,4204,2407.843,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2407.843,????,1,10
1A,1,A,1426,Spectrogram 1,1,2557.089,2557.922333,2114.4,3109.5,2557.089,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2557.089,????,1,10
1A,1,A,1427,Spectrogram 1,1,2579.771,2581.333499,2611.9,4801,2579.771,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2579.771,????,,10
1A,1,A,1436,Spectrogram 1,1,1720.192,1721.311791,2437,4789.9,1720.192,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1720.192,????,1,10
1A,1,A,1482,Spectrogram 1,1,2711.544,2763.323917,1976.3,3282.3,2711.544,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2711.544,????,1,10
1A,1,A,1486,Spectrogram 1,1,406.813,409.4019959,1448.3,8137.9,406.813,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,406.813,????,1,10
1A,1,A,1492,Spectrogram 1,1,436.014,441.8473313,1263.8,2347,436.014,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,436.014,????,1,10
1A,1,A,1513,Spectrogram 1,1,701.939,703.7879577,1192.3,2576.9,701.939,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,701.939,????,1,10
1A,1,A,1517,Spectrogram 1,1,548.924,552.1010822,1576.9,2730.8,548.924,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,548.924,????,1,10
1A,1,A,1523,Spectrogram 1,1,627.424,628.8823328,1076.9,2192.3,627.424,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,627.424,????,1,10
1A,1,A,1569,Spectrogram 1,1,1198.24,1199.125416,3513.8,5338.6,1198.24,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1198.24,????,,10
1A,1,A,1571,Spectrogram 1,1,1252.118,1252.847166,3285.7,5156.1,1252.118,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1252.118,????,1,10
1A,1,A,1602,Spectrogram 1,1,2927.207,2929.055958,1266.5,2321.8,2927.207,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2927.207,????,,10
1A,1,A,1607,Spectrogram 1,1,1099.106,1101.553916,3615.3,5848.3,1099.106,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1099.106,????,,10
1A,1,A,1635,Spectrogram 1,1,1883.037,1884.313041,2897.2,4615.8,1883.037,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1883.037,????,1,10
1A,1,A,1654,Spectrogram 1,1,2174.995,2176.245,2013.9,4166.7,2174.995,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2174.995,????,1,10
1A,1,A,1659,Spectrogram 1,1,2136.169,2137.366916,2102,5296.4,2136.169,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2136.169,????,1,10
1A,1,A,1664,Spectrogram 1,1,2073.892,2075.168041,2743.1,3993.1,2073.892,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2073.892,????,1,10
1A,1,A,1689,Spectrogram 1,1,1862.673,1872.803205,2743.1,3680.6,1862.673,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1862.673,????,1,10
1A,1,A,1710,Spectrogram 1,1,1222.42,1247.289783,2621,3588.7,1222.42,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1222.42,????,1,10
1A,1,A,1743,Spectrogram 1,1,2877.325,2879.720833,2758.8,3968.5,2877.325,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,2877.325,????,,10
1A,1,A,1753,Spectrogram 1,1,3035.106,3036.954958,1371,4798.4,3035.106,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3035.106,????,1,10
1A,1,A,1755,Spectrogram 1,1,3044.064,3046.225458,1451.6,3629,3044.064,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3044.064,????,1,10
1A,1,A,1756,Spectrogram 1,1,3086.328,3087.395708,2741.9,4838.7,3086.328,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3086.328,????,1,10
1A,1,A,1757,Spectrogram 1,1,3100.234,3101.900666,4059.7,5229,3100.234,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3100.234,????,1,10
1A,1,A,1767,Spectrogram 1,1,3157.784,3163.12254,3034.7,4284.7,3157.784,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3157.784,????,1,10
1A,1,A,1808,Spectrogram 1,1,3574.524,3579.784415,3590.2,5459,3574.524,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,3574.524,????,,10
1A,1,A,1831,Spectrogram 1,1,1112.228569,1118.733669,3666.667,5033.333,1112.2286,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1112.2286,????,,10
1B,1,B,262,Spectrogram 1,1,11.77082925,13.22916207,1428.6,2619,11.771,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,11.771,????,1,10
1B,1,B,268,Spectrogram 1,1,50.03470485,54.07984233,1904.8,2936.5,50.035,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,50.035,????,,10
1B,1,B,290,Spectrogram 1,1,131.8361062,133.6937444,595.2,1507.9,131.836,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,131.836,????,1,10
1B,1,B,294,Spectrogram 1,1,166.2805387,168.1381769,476.2,2381,166.281,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,166.281,????,1,10
1B,1,B,307,Spectrogram 1,1,292.8388689,295.0784514,1587.3,2420.6,292.839,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,292.839,????,1,10
1B,1,B,315,Spectrogram 1,1,322.0208236,325.0937392,1428.6,2500,322.021,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,322.021,????,1,10
1B,1,B,365,Spectrogram 1,1,470.729861,472.379166,1587.3,2619,470.73,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,470.73,????,1,10
1B,1,B,387,Spectrogram 1,1,557.620129,560.4673503,1706.3,2460.3,557.62,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,557.62,????,1,10
1B,1,B,393,Spectrogram 1,1,590.6416009,591.4749339,595.2,3412.7,590.642,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,590.642,????,1,10
1B,1,B,394,Spectrogram 1,1,594.5304884,596.9089598,1547.6,3968.3,594.53,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,594.53,????,1,10
1B,1,B,395,Spectrogram 1,1,596.7527099,597.5513207,754,2103.2,596.753,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,596.753,????,1,10
1B,1,B,416,Spectrogram 1,1,703.3804915,704.0228524,3373,4523.8,703.38,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,703.38,????,1,10
1B,1,B,422,Spectrogram 1,1,724.9756433,727.5450868,1349.2,2142.9,724.976,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,724.976,????,1,10
1B,1,B,423,Spectrogram 1,1,737.0936946,740.3054991,1785.7,2460.3,737.094,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,737.094,????,1,10
1B,1,B,425,Spectrogram 1,1,745.1839696,746.4513303,714.3,3254,745.184,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,745.184,????,1,10
1B,1,B,426,Spectrogram 1,1,759.9235478,769.5068778,1388.9,1825.4,759.924,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,759.924,????,1,10
1B,1,B,469,Spectrogram 1,1,864.7978578,870.1103559,3293.7,4603.2,864.798,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,864.798,????,1,10
1B,1,B,490,Spectrogram 1,1,905.958975,907.3652245,2023.8,4682.5,905.959,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,905.959,????,1,10
1B,1,B,492,Spectrogram 1,1,952.208959,953.4589585,2500,4087.3,952.209,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,952.209,????,1,10
1B,1,B,536,Spectrogram 1,1,1090.761754,1091.733976,3333.3,4801.6,1090.762,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1090.762,????,1,10
1B,1,B,543,Spectrogram 1,1,1109.996828,1111.854466,2142.9,3452.4,1109.997,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1109.997,????,1,10
1B,1,B,548,Spectrogram 1,1,1148.121814,1150.812786,2301.6,3650.8,1148.122,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1148.122,????,1,10
1B,1,B,549,Spectrogram 1,1,1123.955156,1126.36835,2222.2,3650.8,1123.955,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1123.955,????,1,10
1B,1,B,559,Spectrogram 1,1,1205.637092,1209.99473,1150.8,2301.6,1205.637,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1205.637,????,,10
1B,1,B,623,Spectrogram 1,1,1371.082235,1372.627374,1865.1,4365.1,1371.082,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1371.082,????,1,10
1B,1,B,637,Spectrogram 1,1,1443.128758,1444.25723,2658.7,4603.2,1443.129,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1443.129,????,1,10
1B,1,B,647,Spectrogram 1,1,1418.6496,1420.003766,1627,2381,1418.65,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1418.65,????,,10
1B,1,B,667,Spectrogram 1,1,1491.633623,1499.897509,2381,4087.3,1491.634,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1491.634,????,1,10
1B,1,B,689,Spectrogram 1,1,1545.069042,1548.419735,912.7,1865.1,1545.069,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1545.069,????,1,10
1B,1,B,694,Spectrogram 1,1,1558.055148,1558.541259,1309.5,2420.6,1558.055,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1558.055,????,1,10
1B,1,B,704,Spectrogram 1,1,1570.830859,1572.966275,2460.3,4127,1570.831,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1570.831,????,1,10
1B,1,B,711,Spectrogram 1,1,1612.16765,1621.664176,3346.8,4527.6,1612.168,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1612.168,????,1,10
1B,1,B,728,Spectrogram 1,1,1643.242486,1644.995958,1953.1,3104.8,1643.242,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1643.242,????,1,10
1B,1,B,736,Spectrogram 1,1,1634.127906,1635.030684,2500,3398.4,1634.128,S-01-312_20190120_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-20/S-01-312_20190120_100007.wav,1634.128,????,1,10
